node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
975,484,0.0142754356921,-63.2896566067776,-10.3115811248817,-63.2882103724802,-10.3108050535174,5.62201226982293,5.60773683413083,2023.1892730335,2023.2035484692,PP154023_SegS_LACENRO_ILMD_06_Brazil_Rondonia_2023-03-16
831,832,0.01058929154389,-69.5394555590848,-8.95053245156969,-69.5391040437666,-8.95070322707072,5.62300517157739,5.6124158800335,2023.19395207941,2023.20454137095,NA
818,819,0.07512996817508,-60.6652774579252,-13.0890861502672,-60.9459445244055,-12.9990686640125,5.63022706066762,5.55509709249254,2023.13663329187,2023.21176326004,NA
819,328,0.005483839292312,-60.9459445244055,-12.9990686640125,-60.9464163299301,-12.9980309585595,5.63571089995993,5.63022706066762,2023.21176326004,2023.21724709933,PP154029_SegS_LACENRO_ILMD_04_Brazil_Rondonia_2023-03-21
832,337,0.01818518043728,-69.5391040437666,-8.95070322707072,-69.5375006323811,-8.95332977338319,5.64119035201467,5.62300517157739,2023.20454137095,2023.22272655139,PP153954_SegS_LVM_ILMD_ZCD208_Brazil_Rondonia_2023-03-23
972,973,0.06335067947005,-63.2394657934155,-10.3485572141345,-63.5884368976629,-11.9966346295145,5.65561111114976,5.59226043167971,2023.17379663105,2023.23714731052,NA
954,477,0.1190812675704,-67.8056528585599,-9.96760111337642,-67.5569400000001,-9.58333000000002,5.66036843420637,5.54128716663597,2023.12282336601,2023.24190463358,PP154158_SegS_LACENAC_ILMD_0244_Brazil_Acre_2023-03-30
819,327,0.03014137353876,-60.9459445244055,-12.9990686640125,-60.9449867838824,-12.9998876354566,5.66036843420638,5.63022706066762,2023.21176326004,2023.24190463358,PP154032_SegS_LACENRO_ILMD_03_Brazil_Rondonia_2023-03-30
970,478,0.1025474186699,-67.0700850057348,-9.95734669295961,-67.069327234858,-9.9582545730399,5.66310816023395,5.56056074156405,2023.14209694094,2023.24464435961,PP154161_SegS_LACENAC_ILMD_0151_Brazil_Acre_2023-03-31
973,481,0.021195679221,-63.5884368976629,-11.9966346295145,-63.5675000000001,-12.05278,5.67680679037076,5.65561111114976,2023.23714731052,2023.25834298974,PP154035_SegS_LACENRO_ILMD_02_Brazil_Rondonia_2023-04-05
832,833,0.06545173480574,-69.5391040437666,-8.95070322707072,-69.5380410038744,-8.9492608825785,5.68845690638313,5.62300517157739,2023.20454137095,2023.26999310576,NA
973,482,0.05681211757733,-63.5884368976629,-11.9966346295145,-64.2280600000001,-12.43417,5.71242322872709,5.65561111114976,2023.23714731052,2023.2939594281,PP154020_SegS_LACENRO_ILMD_08_Brazil_Rondonia_2023-04-18
975,485,0.164960367199,-63.2896566067776,-10.3115811248817,-62.9041699999999,-10.34833,5.77269720132983,5.60773683413083,2023.1892730335,2023.3542334007,PP154038_SegS_LACENRO_ILMD_01_Brazil_Rondonia_2023-05-10
833,458,0.0869800209741,-69.5380410038744,-8.9492608825785,-69.5369674975061,-8.94933931425329,5.77543692735723,5.68845690638313,2023.26999310576,2023.35697312673,PP153945_SegS_LVM_ILMD_ZDC388_Brazil_Rondonia_2023-05-11
833,834,0.5270372145874,-69.5380410038744,-8.9492608825785,-69.5389911803028,-8.94960809476938,6.21549412097053,5.68845690638313,2023.26999310576,2023.79703032034,NA
955,957,0.6598799106035,-67.8106363001916,-9.97675483887179,-67.8076640983992,-9.97336872421565,6.25044568706086,5.59056577645736,2023.17210197583,2023.83198188643,NA
